terrainID,position,direction,average_power,power_group
aa42,4,6,34.39182,0
aa1b,2,3,36.5288,0
aa42,4,5,55.12138,0
aa1b,4,28,32.88473,0
aa42,4,28,60.57283,0
aa42,4,27,9.166278,0
aa42,4,26,19.58821,0
aa1b,4,7,58.45772,0
aa42,4,23,50.7567,0
aa42,4,22,68.64458,0
aa1b,4,8,21.6088,0
aa1c,0,5,61.88639,0
aa1c,0,6,35.55251,0
aa42,4,11,47.8914,0
aa1b,4,27,17.40335,0
aa45,2,3,42.14006,0
aa3w,4,9,19.16061,0
aa3w,4,6,48.77997,0
aa3r,4,11,11.93849,0
aa3r,4,10,27.87788,0
aa1m,4,6,68.77471,0
aa3r,3,6,40.99048,0
aa1m,4,7,36.12703,0
aa1m,4,9,31.15819,0
aa1n,0,6,48.56511,0
aa3r,1,3,41.60746,0
aa1n,1,3,56.59849,0
aa1n,2,2,66.43407,0
aa1n,2,3,36.27365,0
aa3q,4,9,21.7053,0
aa3q,4,8,63.95747,0
aa3q,4,6,58.58028,0
aa1n,3,6,66.55601,0
aa1n,4,10,60.61295,0
aa1n,4,11,13.01143,0
aa1n,4,12,34.20691,0
aa3q,4,27,29.72708,0
aa3q,4,26,9.025582,0
aa3q,4,25,33.90717,0
aa3q,4,23,41.56433,0
aa1n,4,23,67.92065,0
aa3r,4,12,58.75753,0
aa1m,4,28,41.11202,0
aa1m,4,27,9.695404,0
aa1m,4,26,27.08141,0
aa1l,4,27,6.286609,0
aa1l,4,28,33.99586,0
aa3s,4,10,26.11655,0
aa1l,4,7,40.90511,0
aa3s,3,6,48.50508,0
aa1l,4,9,45.88311,0
aa1m,0,6,70.27808,0
aa1m,1,3,62.19359,0
aa3s,1,3,51.02569,0
aa1m,2,3,48.26827,0
aa3s,0,6,61.41602,0
aa1n,4,24,36.12631,0
aa1m,3,6,56.54159,0
aa1m,4,11,36.91779,0
aa3r,4,8,16.98065,0
aa3r,4,7,43.8252,0
aa3r,4,6,69.35818,0
aa3r,4,29,53.37103,0
aa3r,4,28,12.72949,0
aa3r,4,27,35.46189,0
aa1m,4,23,58.20634,0
aa3r,4,25,24.28404,0
aa3r,4,24,53.90343,0
aa1m,4,24,30.93663,0
aa1m,4,10,9.693058,0
aa1l,4,26,26.93673,0
aa1n,4,25,13.96689,0
aa1n,4,28,13.11248,0
aa1o,4,6,38.43302,0
aa1o,4,8,43.4224,0
aa3p,2,3,44.42907,0
aa1o,4,9,9.882022,0
aa1p,0,6,63.65945,0
aa3p,1,3,55.56806,0
aa1p,1,3,64.04544,0
aa3p,0,6,40.95408,0
aa1p,2,3,60.14724,0
aa3p,0,5,67.70856,0
aa3o,4,9,45.21619,0
aa3o,4,7,34.20192,0
aa3o,4,6,60.93396,0
aa1p,3,6,47.87984,0
aa1p,4,10,14.89293,0
aa1p,4,11,23.23635,0
aa3o,4,28,23.47798,0
aa3o,4,27,7.699485,0
aa3o,4,26,45.54667,0
aa1p,4,23,67.98717,0
aa3o,4,24,33.61583,0
aa3o,4,23,69.23613,0
aa1p,4,24,33.27565,0
aa3p,3,6,68.92841,0
aa1o,4,5,67.852,0
aa3p,4,10,17.20009,0
aa1o,4,28,51.74944,0
aa3q,4,11,62.23064,0
